Name|period|AB|spt|mass|mass_unc|radius|radius_unc|teff|teff_unc|logg|logg_unc|Lbol|Lbol_unc|Vmag|Vmag_unc|
V392 Car|3.17|A|A2V|1.904|0.013|1.624|0.022|8850|200|4.296|0.011|1.162|0.041|1.87|0.09|
CD-60 1966|9.48|B|A2V|1.855|0.020|1.600|0.022|8630|200|4.298|0.012|1.105|0.042|1.98|0.10|
AY Cam|2.73|A|A0V|1.905|0.040|2.772|0.020|7250|100|3.8323|0.0035|1.280|0.025|1.50|0.08|
BD+77 328|9.69|B|F0V|1.707|0.036|2.026|0.017|7395|100|4.0576|0.0048|1.042|0.025|2.09|0.08|
RS Cha|1.67|A|A8V|1.854|0.016|2.138|0.055|8050|200|4.046|0.022|1.236|0.049|1.62|0.13|
HD 75747|6.03|B|A8V|1.817|0.018|2.339|0.055|7700|200|3.959|0.020|1.237|0.050|1.61|0.13|
MY Cyg|4.01|A|F0m|1.806|0.025|2.242|0.050|7050|200|3.994|0.019|1.048|0.053|2.08|0.15|
HD 193637|8.31|B|F0m|1.782|0.030|2.178|0.050|7000|200|4.013|0.020|1.010|0.053|2.18|0.15|
EI Cep|8.44|A|F3V|1.7716|0.0066|2.897|0.048|6750|100|3.763|0.014|1.194|0.030|1.72|0.09|
HD 205234|7.53|B|F1m|1.6801|0.0062|2.330|0.044|6950|100|3.929|0.016|1.056|0.030|2.06|0.09|
BP Vul|1.94|A|A7m|1.737|0.015|1.852|0.014|7715|150|4.1425|0.0065|1.038|0.034|2.11|0.10|
HD 352179|9.80|B|F2m|1.4081|0.0087|1.489|0.013|6810|150|4.2408|0.0073|0.632|0.039|3.13|0.12|
FS Mon|1.91|A|F2V|1.632|0.010|2.052|0.012|6715|100|4.0263|0.0049|0.886|0.026|2.50|0.09|
BD-04 1937|9.60|B|F4V|1.4618|0.0096|1.6293|0.0098|6550|100|4.1790|0.0051|0.642|0.027|3.12|0.09|
PV Pup|1.66|A|A8V|1.561|0.011|1.543|0.016|6920|300|4.2547|0.0088|0.690|0.076|2.98|0.21|
HD 62863|6.89|B|A8V|1.550|0.013|1.499|0.016|6930|300|4.2768|0.0091|0.668|0.076|3.03|0.21|
V442 Cyg|2.39|A|F1V|1.560|0.024|2.073|0.034|6900|100|3.998|0.014|0.942|0.029|2.35|0.09|
HD 334426|9.72|B|F2V|1.407|0.023|1.663|0.033|6800|100|4.145|0.017|0.725|0.031|2.90|0.09|
