Name|Other|HD|spt|spt_other|ref|V|V-K|K-[12]|theta_R|theta_R_unc|radius|radius_unc|Fbol|Teff|d|R
HR 7995|31 Vul|198809|G7 III|G7 IIIFe-1|5|4.61|1.64|0.8|1.54|0.29|11|2.1|51.2 ± 14.2|5040 ± 583|66.2 ± 2.6|11.0 ± 2.1
HR 8008|32 Vul|199169|K4 III|K4 III|6, 7|4.99|3.37|0.48|2.46|0.05|60.2|9.7|70.6 ± 6.8|4324 ± 113|227.3 ± 36.2|60.2 ± 9.7
HR 8044||200044|M3 III|M3 IIIab|2|5.65|4.44|0.5|3.33|0.08|65.2|9.6|63.1 ± 4.4|3615 ± 77|181.8 ± 26.4|65.2 ± 9.6
HR 8306||206749|M2 III|M2 IIIab|5|5.49|4.18|0.6|3.24|0.07|63.4|7.1|66.7 ± 5.0|3717 ± 80|181.8 ± 19.8|63.4 ± 7.1
HR 8555|IRC +30493|212988|K3|K2|11|5.98|3.36|0.56|1.52|0.06|46.8|9.6|31.9 ± 2.4|4507 ± 123|285.7 ± 57.1|46.8 ± 9.6
HR 8684|48 Peg, \mu Peg|216131|G8 III|G8+ III|5|3.48|2.05|0.52|2.60|0.06|10|0.4|142.1 ± 47.5|5017 ± 424|35.8 ± 1.0|10.0 ± 0.4
HR 8796|56 Peg|218356|K0.5 II|G8 Ib|5|4.77|2.98|0.57|2.27|0.05|40|4.7|72.5 ± 7.6|4535 ± 129|163.9 ± 18.8|40.0 ± 4.7
HR 8930|14 And|221345|K0 III|K0 III|14|5.22|2.49|0.53|1.79|0.07|14.7|1|33.3 ± 4.5|4206 ± 165|76.3 ± 4.1|14.7 ± 1.0
HR 8942||221662|M3 III|M3 III|2|6.06|5.07|0.59|3.70|0.10|||71.7 ± 7.4|3542 ± 103||
HR 8953||221905|M1 III|M1 III|2|6.45|4.59||2.53|0.05|||49.3 ± 28.0|3896 ± 554||
HR 9035||223755|M2.5 III|M2 III|2|6.11|4.1|0.63|2.46|0.05|44.2|6|36.3 ± 3.2|3660 ± 88|166.7 ± 22.2|44.2 ± 6.0
HR 9055||224303|M2 III|M2 III|2|6.15|4.19|0.58|2.41|0.05|48.1|7.2|36.5 ± 2.8|3704 ± 80|185.2 ± 27.4|48.1 ± 7.2
IRC +20092||30354|M2 III||15|8.4|6.28|0.71|2.41|0.07|||30.6 ± 6.3|3545 ± 191||
IRC +30086||27796|M3 III||15|7.8|5.67|0.7|2.41|0.05|||18.2 ± 1.1|3111 ± 56||
IRC +30105||33463|M2 III?|||6.38|4.79|0.6|2.87|0.06|||47.3 ± 6.1|3623 ± 122||
IRC +30115||35601|M1.5 I||5|7.35|5.61|0.92|3.11|0.07|||29.0 ± 2.4|3082 ± 73||
IRC +30309|V959 Her|159968|M1 III||16|6.42|5.01|0.62|2.95|0.06|||49.5 ± 4.1|3613 ± 84||
IRC +30412||190788|M3 I||5|7.86|6.19|0.83|2.91|0.06|||33.1 ± 3.7|3291 ± 98||
IRC +30438|FG Vul||M5 II||17|9.35|7.02|0.8|2.54|0.06|||11.0 ± 1.2|2673 ± 80||
IRC +30465|V2142 Cyg|200043|M3 III||18|7.2|5.11|0.68|2.21|0.05|69.9|14.5|27.1 ± 1.5|3595 ± 66|294.1 ± 60.6|69.9 ± 14.5
IRC +30468||200546|M2 III||19|7.2|5.16|0.54|2.14|0.05|60.5|12.8|25.1 ± 1.9|3585 ± 79|263.2 ± 55.4|60.5 ± 12.8
IRC +40018||6262|M3 III||18|7.08|4.9|0.62|2.39|0.09|||27.9 ± 4.6|3480 ± 157||
IRC +40022|YZ Tri|9500|M4 III||18|7|5.13|0.51|2.49|0.05|||35.9 ± 6.7|3629 ± 174||
IRC +40254||124696|K5 III||10|6.9|4.05|0.5|1.57|0.07|51.3|12.7|18.2 ± 1.8|3855 ± 129|303.0 ± 73.5|51.3 ± 12.7
IRC +40337||177697|K5?|||7.76|4.9|0.38|1.34|0.06|||18.5 ± 5.0|4194 ± 298||
